"FILE","JD-OBS","DATE-OBS","EXPTIME","OBSERVER","INSTRUMENT","PHASE","CENTER","RV","ERROR"
"alphadra_20220513233026_gbertrand.fits",2459713.479477022,"2022-05-13T23:30:26.8146777",2000.0,"gbertrand","72ED + StarEx2400 + ASI183MM",0.8640065698146486,6563.416499878062,15.833101118331085,0.8211930941588849
"alphadra_20220527213355_gbertrand.fits",2459727.3985543717,"2022-05-27T21:33:55.0977123",2400,"gbertrand","72ED + StarEx2400 + ASI183MM",0.13469883240017566,6562.611157240469,-21.310816730199825,1.1502468486483914
"alphadra_20220602215240_gbertrand.fits",2459733.41158115,"2022-06-02T21:52:40.6113366",2400.0,"gbertrand","72ED + StarEx2400 + ASI183MM",0.251637605182907,6562.204296868642,-39.88529496916968,0.35212426047226325
"alphadra_20220608211443_gbertrand.fits",2459739.385222168,"2022-06-08T21:14:43.1953193",2000,"gbertrand","72ED + StarEx2400 + ASI183MM",0.36781042055704916,6562.106209046223,-44.196109395072696,0.3779361503251889
"alphadra_20220611211237_gbertrand.fits",2459742.3837715667,"2022-06-11T21:12:37.8633742",1800,"gbertrand","72ED + StarEx2400 + ASI183MM",0.42612492666651747,6562.125490945854,-43.196849999183854,0.5263884692234289
"alphadra_20220613211820_gbertrand.fits",2459744.387740086,"2022-06-13T21:18:20.7433959",1200,"gbertrand","72ED + StarEx2400 + ASI183MM",0.46509724925428486,6562.122456688294,-43.24588345369588,0.9597176502942101
"alphadra_20220616205603_gbertrand.fits",2459747.3722602837,"2022-06-16T20:56:03.2884949",1200,"gbertrand","72ED + StarEx2400 + ASI183MM",0.5231389214702347,6562.208909987491,-39.12407464061756,0.29339193035007044
"alphadra_20221021184854_gbertrand.fits",2459874.283962746,"2022-10-21T18:48:54.3812527",1200,"gbertrand","72ED + StarEx2400 + ASI183MM",0.9912634260427922,6563.635211027515,46.4955650209468,0.5836908876110902
"alphadra_20230305202003_aleduc.fits",2460009.347259032,"2023-03-05T20:20:03.1803571",3600.000004,"aleduc","MTO 100F7.5 Starex 2400t 19mic asi183mm",0.6179166405499643,6562.132450626269,-32.59849279588081,1.340855248655941
"alphadra_20230322193823_aleduc.fits",2460026.3183306926,"2023-03-22T19:38:23.7718421",2700.0,"aleduc","N130F8 Starex 2400t 19mic asi183mmpro",0.9479627830368429,6563.972612721048,48.07339250341854,1.1818802882739132
"alphadra_20230326204416_aleduc.fits",2460030.364081822,"2023-03-26T20:44:16.6693950",900.0,"aleduc","N130F8 Starex 2400t 19mic asi183mmpro",0.026642820478826934,6563.657454970096,32.914861777731545,1.009804197040374
"alphadra_20230327203524_aleduc.fits",2460031.357921263,"2023-03-27T20:35:24.3971244",900.000001,"aleduc","N130F8 Starex 2400t 19mic asi183mmpro",0.0459705848312808,6563.417213572328,21.761938866734013,1.5866474179769279
"alphadra_20230328193215_aleduc.fits",2460032.3140694466,"2023-03-28T19:32:15.6001810",900.0,"aleduc","N130F8 Starex 2400t 19mic asi183mmpro",0.06456534572220107,6563.17666377742,10.610707085840673,1.5339730466048878
"alphadra_20230330192112_aleduc.fits",2460034.3063922925,"2023-03-30T19:21:12.2940714",1800.0,"aleduc","N130F8 Starex 2400t 19mic asi183mmpro",0.10331118823671659,6562.748592794083,-9.293624390628382,0.9710473837026198
"alphadra_20230402194337_aleduc.fits",2460037.321956701,"2023-04-02T19:43:37.0589709",900.0,"aleduc","N130F8 Starex 2400t 19mic asi183mmpro",0.16195659498501414,6562.357764929087,-27.663825435468453,0.9106961441933098
"alphadra_20230404191632_aleduc.fits",2460039.303152937,"2023-04-04T19:16:32.4137500",900.000001,"aleduc","N130F8 Starex 2400t 19mic asi183mmpro",0.20048605194782,6562.212521704696,-34.623397148770806,2.167526672929436
"alphadra_20230404223538_bchristian.fits",2460039.4414129723,"2023-04-04T22:35:38.080800",6000.0,"cbuil","FSQ106ED + StarEx2400  + ASI533MM",0.20317487397551304,6562.183759722245,-36.026333113126654,0.6936219407777383
"alphadra_20230405012157_bchristian.fits",2460039.5569155556,"2023-04-05T01:21:57.504000",3000.0,"cbuil","FSQ106ED + StarEx2400  + ASI533MM",0.20542111881127312,6562.158965930151,-37.27992734101063,0.1607959227444344
"alphadra_20230406010825_bchristian.fits",2460040.5475194165,"2023-04-06T01:08:25.677600",3000,"cbuil","FSQ106ED + StarEx2400  + ASI533MM",0.22468595898010335,6562.135337762581,-38.51304062773998,0.24670954465126224
"alphadra_20230406203307_bchristian.fits",2460041.3563414724,"2023-04-06T20:33:07.903200",3000.0,"cbuil","100ED + StarEx2400  + ASI533MM",0.24041558435789057,6562.101725412751,-40.031404296659886,0.5311042332404315
"alphadra_20230407191728_aleduc.fits",2460042.3037993344,"2023-04-07T19:17:28.2625145",2700.0,"aleduc","N130F8 Starex 2400t 19mic asi183mmpro",0.25884133959633004,6562.077652784308,-41.26513444033207,0.6920312905961892
